subject,Classifier,number of sensors,logloss,participant
4,RDA,3,0.699681443,Able-bodied
4,QDA,3,0.855426921,Able-bodied
4,LDA,4,0.596396476,Able-bodied
4,RDA,4,0.579212794,Able-bodied
4,QDA,4,0.838279158,Able-bodied
4,LDA,5,0.510326894,Able-bodied
4,RDA,5,0.510326894,Able-bodied
4,QDA,5,0.967743029,Able-bodied
4,LDA,6,0.520124282,Able-bodied
4,RDA,6,0.520124282,Able-bodied
4,QDA,6,1.053087809,Able-bodied
4,LDA,7,0.507746253,Able-bodied
4,RDA,7,0.507746253,Able-bodied
4,QDA,7,1.253591425,Able-bodied
4,LDA,8,0.498739778,Able-bodied
4,RDA,8,0.498739778,Able-bodied
4,QDA,8,1.310640764,Able-bodied
4,LDA,9,0.501444085,Able-bodied
4,RDA,9,0.501444085,Able-bodied
4,QDA,9,1.371384514,Able-bodied
4,LDA,10,0.517222739,Able-bodied
4,RDA,10,0.517222739,Able-bodied
4,QDA,10,1.436709575,Able-bodied
4,LDA,11,0.523943238,Able-bodied
4,RDA,11,0.523943238,Able-bodied
4,QDA,11,1.587295318,Able-bodied
4,LDA,12,0.539228734,Able-bodied
4,RDA,12,0.539228734,Able-bodied
4,QDA,12,1.753160832,Able-bodied
4,LDA,13,0.581418584,Able-bodied
4,RDA,13,0.581418584,Able-bodied
4,QDA,13,1.878945269,Able-bodied
4,LDA,14,0.612298802,Able-bodied
4,RDA,14,0.612298802,Able-bodied
4,QDA,14,1.918191774,Able-bodied
4,LDA,15,0.605359202,Able-bodied
4,RDA,15,0.605359202,Able-bodied
4,QDA,15,1.944359516,Able-bodied
4,LDA,16,0.623806097,Able-bodied
4,RDA,16,0.623806097,Able-bodied
4,QDA,16,2.075278325,Able-bodied
5,LDA,1,0.982571884,Able-bodied
5,RDA,1,0.70382831,Able-bodied
5,QDA,1,0.731742183,Able-bodied
5,LDA,2,0.661180983,Able-bodied
5,RDA,2,0.544119795,Able-bodied
5,QDA,2,0.648645538,Able-bodied
5,LDA,3,0.57384773,Able-bodied
5,RDA,3,0.551105869,Able-bodied
5,QDA,3,0.626452035,Able-bodied
5,LDA,4,0.543826097,Able-bodied
5,RDA,4,0.535151528,Able-bodied
5,QDA,4,0.657327593,Able-bodied
5,LDA,5,0.464211316,Able-bodied
5,RDA,5,0.464211316,Able-bodied
5,QDA,5,0.626339329,Able-bodied
5,LDA,6,0.415733638,Able-bodied
5,RDA,6,0.415733638,Able-bodied
5,QDA,6,0.619618418,Able-bodied
5,LDA,7,0.413886828,Able-bodied
5,RDA,7,0.413439474,Able-bodied
5,QDA,7,0.647494572,Able-bodied
5,LDA,8,0.3390436,Able-bodied
5,RDA,8,0.339547429,Able-bodied
5,QDA,8,0.65270962,Able-bodied
5,LDA,9,0.32891251,Able-bodied
5,RDA,9,0.32891251,Able-bodied
5,QDA,9,0.65858426,Able-bodied
