Thresholds,TPR,FPR
0.999992910834988,0.0006887052341597796,0.0
0.9999873379423199,0.0013774104683195593,0.0
0.9999787897948937,0.002066115702479339,0.0
0.9999739291954212,0.0027548209366391185,0.0
0.9999723499251436,0.003443526170798898,0.0
0.9999715441943932,0.004132231404958678,0.0
0.9999707256975677,0.0048209366391184574,0.0
0.9999691817603051,0.005509641873278237,0.0
0.9999671439671397,0.006198347107438017,0.0
0.9999667025016808,0.006887052341597796,0.0
0.9999657698048198,0.007575757575757576,0.0
0.9999636938031469,0.008264462809917356,0.0
0.9999624066448527,0.008953168044077135,0.0
0.999957180331126,0.009641873278236915,0.0
0.9999548970271827,0.010330578512396695,0.0
0.999954328446897,0.011019283746556474,0.0
0.9999541000900507,0.011707988980716254,0.0
0.9999529849037841,0.012396694214876033,0.0
0.999951000946912,0.013085399449035813,0.0
0.9999404097522636,0.013774104683195593,0.0
0.9999399001806606,0.014462809917355372,0.0
0.9999380548945836,0.015151515151515152,0.0
0.9999380137561577,0.01584022038567493,0.0
0.9999368027266401,0.01652892561983471,0.0
0.9999304413263304,0.01721763085399449,0.0
0.9999297082413859,0.01790633608815427,0.0
0.9999294239796594,0.01859504132231405,0.0
0.9999271052735319,0.01928374655647383,0.0
0.9999256731552044,0.01997245179063361,0.0
0.9999242871036264,0.02066115702479339,0.0
0.9999178785755415,0.02134986225895317,0.0
0.9999177040417778,0.02203856749311295,0.0
0.9999163042955999,0.022727272727272728,0.0
0.9999117502156684,0.023415977961432508,0.0
0.9999049513557827,0.024104683195592287,0.0
0.9998991473879593,0.024793388429752067,0.0
0.9998941034979169,0.025482093663911846,0.0
0.9998938163361488,0.026170798898071626,0.0
0.9998932730731253,0.026859504132231406,0.0
0.9998931533674436,0.027548209366391185,0.0
0.9998919573956063,0.028236914600550965,0.0
0.9998912619534644,0.028925619834710745,0.0
0.9998902937342077,0.029614325068870524,0.0
0.9998899389607704,0.030303030303030304,0.0
0.9998874026348089,0.030991735537190084,0.0
0.9998841660962192,0.03168044077134986,0.0
0.9998805603397015,0.03236914600550964,0.0
0.9998801328470552,0.03305785123966942,0.0
0.99987947124542,0.0337465564738292,0.0
0.999879369324835,0.03443526170798898,0.0
0.9998745620385873,0.03512396694214876,0.0
0.9998690160047659,0.03581267217630854,0.0
0.9998655848080396,0.03650137741046832,0.0
0.9998599445021308,0.0371900826446281,0.0
