Subject number,Subject type,Trial,Electrodes,EMG variance
7,Able-bodied,2,Used,1.238824090017264e-08
7,Able-bodied,2,Not used,7.354700671608348e-09
7,Able-bodied,3,Used,1.0698766711928866e-08
7,Able-bodied,3,Not used,6.7000665788676035e-09
7,Able-bodied,4,Used,9.796293211428368e-09
7,Able-bodied,4,Not used,4.869500463944882e-09
7,Able-bodied,5,Used,1.0843677950347553e-08
7,Able-bodied,5,Not used,5.720707229555486e-09
7,Able-bodied,6,Used,1.4946581023723487e-08
7,Able-bodied,6,Not used,5.88459338907567e-09
7,Able-bodied,7,Used,1.3901351012466748e-08
7,Able-bodied,7,Not used,6.292992069607816e-09
7,Able-bodied,8,Used,1.130184837552952e-08
7,Able-bodied,8,Not used,5.1065019814518015e-09
7,Able-bodied,9,Used,6.246331913359104e-09
7,Able-bodied,9,Not used,4.359505646641444e-09
7,Able-bodied,10,Used,8.202856298555198e-09
7,Able-bodied,10,Not used,4.076916599371371e-09
8,Able-bodied,1,Used,4.082110546099163e-09
8,Able-bodied,1,Not used,2.8560416337011456e-09
8,Able-bodied,2,Used,4.199907189359672e-09
8,Able-bodied,2,Not used,3.187037647758795e-09
8,Able-bodied,3,Used,3.2218711901556236e-09
8,Able-bodied,3,Not used,2.01848127718537e-09
8,Able-bodied,4,Used,4.174677267793571e-09
8,Able-bodied,4,Not used,2.8044330084759888e-09
8,Able-bodied,5,Used,2.503934132532365e-09
8,Able-bodied,5,Not used,1.8384262058405429e-09
8,Able-bodied,6,Used,4.152842861107237e-09
8,Able-bodied,6,Not used,3.2491142471134344e-09
8,Able-bodied,7,Used,4.097994764506197e-09
8,Able-bodied,7,Not used,3.661078403144239e-09
8,Able-bodied,8,Used,4.094487761819322e-09
8,Able-bodied,8,Not used,3.218641821790902e-09
8,Able-bodied,9,Used,4.274250313933989e-09
8,Able-bodied,9,Not used,3.3115397626858485e-09
8,Able-bodied,10,Used,4.244041678869348e-09
8,Able-bodied,10,Not used,3.110858335678763e-09
9,Able-bodied,1,Used,9.129888061589282e-10
9,Able-bodied,1,Not used,1.0137260018361252e-09
9,Able-bodied,2,Used,1.3932325615905637e-09
9,Able-bodied,2,Not used,9.532858914513138e-10
9,Able-bodied,3,Used,1.2838089844714186e-09
9,Able-bodied,3,Not used,9.000248117286822e-10
9,Able-bodied,4,Used,1.1654885166065359e-09
9,Able-bodied,4,Not used,8.04954157020404e-10
9,Able-bodied,5,Used,9.58700401368309e-10
9,Able-bodied,5,Not used,1.0047047157247865e-09
9,Able-bodied,6,Used,1.2130264688836752e-09
9,Able-bodied,6,Not used,8.238185285887497e-10
9,Able-bodied,7,Used,1.1338909537148067e-09
9,Able-bodied,7,Not used,6.916724640301385e-10
9,Able-bodied,8,Used,1.1147331486646942e-09
9,Able-bodied,8,Not used,6.885009553350415e-10
9,Able-bodied,9,Used,1.161870658255879e-09
9,Able-bodied,9,Not used,7.189732806154405e-10
9,Able-bodied,10,Used,9.123586817589696e-10
9,Able-bodied,10,Not used,6.564650892564691e-10
10,Able-bodied,1,Used,2.3131376461923816e-09
10,Able-bodied,1,Not used,5.960285333874339e-09
10,Able-bodied,2,Used,2.817326245390232e-09
10,Able-bodied,2,Not used,2.543992791699186e-09
10,Able-bodied,3,Used,3.895362012858077e-09
10,Able-bodied,3,Not used,3.1791108836740153e-09
10,Able-bodied,4,Used,2.5233513228805685e-09
10,Able-bodied,4,Not used,2.9032360306540466e-09
10,Able-bodied,5,Used,1.9162135859638913e-09
10,Able-bodied,5,Not used,2.171352070003112e-09
10,Able-bodied,6,Used,2.048352500441589e-09
10,Able-bodied,6,Not used,2.36666691070985e-09
10,Able-bodied,7,Used,2.586436832045746e-09
10,Able-bodied,7,Not used,1.863128649743268e-09
10,Able-bodied,8,Used,2.036851680170948e-09
10,Able-bodied,8,Not used,2.10945761486857e-09
10,Able-bodied,9,Used,1.6866984784046532e-09
10,Able-bodied,9,Not used,1.990964076360596e-09
10,Able-bodied,10,Used,2.0797925394748194e-09
10,Able-bodied,10,Not used,2.0127510893016633e-09
11,Able-bodied,1,Used,5.416931519201293e-10
11,Able-bodied,1,Not used,2.978056317105282e-09
11,Able-bodied,2,Used,7.501971142087133e-10
11,Able-bodied,2,Not used,2.31338770939579e-09
11,Able-bodied,3,Used,7.320197575184854e-10
11,Able-bodied,3,Not used,2.6492221907149207e-09
11,Able-bodied,4,Used,9.068412740273101e-10
11,Able-bodied,4,Not used,2.8303140250138974e-09
11,Able-bodied,5,Used,7.496121558410507e-10
11,Able-bodied,5,Not used,2.4971159454164513e-09
11,Able-bodied,6,Used,5.360581376576911e-10
11,Able-bodied,6,Not used,2.742348539819081e-09
11,Able-bodied,7,Used,5.659777159060138e-10
11,Able-bodied,7,Not used,2.0347582436725034e-09
11,Able-bodied,8,Used,3.9514817634822733e-10
11,Able-bodied,8,Not used,2.5186585055737886e-09
11,Able-bodied,9,Used,8.515905679081225e-10
11,Able-bodied,9,Not used,2.0103675603027384e-09
11,Able-bodied,10,Used,6.421993705735715e-10
11,Able-bodied,10,Not used,2.1946151583787346e-09
12,Able-bodied,1,Used,2.807531569896239e-09
12,Able-bodied,1,Not used,2.3566083183038022e-09
12,Able-bodied,2,Used,2.007579349261436e-09
12,Able-bodied,2,Not used,2.281413483164393e-09
12,Able-bodied,3,Used,2.754477219799406e-09
12,Able-bodied,3,Not used,2.5689915541345303e-09
12,Able-bodied,4,Used,2.7678946032206416e-09
12,Able-bodied,4,Not used,2.6739904178660643e-09
12,Able-bodied,5,Used,1.237700894731067e-09
12,Able-bodied,5,Not used,1.4417524399480636e-09
12,Able-bodied,6,Used,2.401370720267841e-09
12,Able-bodied,6,Not used,2.2539807621011262e-09
12,Able-bodied,7,Used,1.3662986203050977e-09
12,Able-bodied,7,Not used,2.1045015361705208e-09
12,Able-bodied,8,Used,2.0948241844121086e-09
12,Able-bodied,8,Not used,2.0790997080943638e-09
12,Able-bodied,9,Used,1.902967190432073e-09
12,Able-bodied,9,Not used,2.3336541736739714e-09
12,Able-bodied,10,Used,1.8229328005503875e-09
12,Able-bodied,10,Not used,2.0312839290782362e-09
20,Amputee,1,Used,2.0698093648627503e-09
20,Amputee,1,Not used,1.2223653778441627e-09
20,Amputee,2,Used,1.4714548119925683e-09
20,Amputee,2,Not used,9.423786531569973e-10
20,Amputee,3,Used,1.7356402188267545e-09
20,Amputee,3,Not used,1.0843238404939004e-09
20,Amputee,4,Used,1.5395579666270905e-09
20,Amputee,4,Not used,9.246726600388731e-10
20,Amputee,5,Used,9.423554370233531e-10
20,Amputee,5,Not used,5.567886027979834e-10
20,Amputee,6,Used,1.2523111400219522e-09
20,Amputee,6,Not used,8.953151225847036e-10
20,Amputee,7,Used,9.066362238284026e-10
20,Amputee,7,Not used,6.789854875464511e-10
20,Amputee,8,Used,1.446679932469454e-09
20,Amputee,8,Not used,8.723523361144445e-10
20,Amputee,9,Used,1.075563728287349e-09
20,Amputee,9,Not used,5.951392321008799e-10
20,Amputee,10,Used,9.971890879453595e-10
20,Amputee,10,Not used,6.2821810991674e-10
21,Amputee,1,Used,1.07131406355108e-08
21,Amputee,1,Not used,4.314709097825198e-09
21,Amputee,2,Used,1.1046142645413388e-08
21,Amputee,2,Not used,4.520886398051861e-09
21,Amputee,3,Used,1.0517193204461575e-08
21,Amputee,3,Not used,4.143486545486668e-09
21,Amputee,4,Used,8.863053847021713e-09
21,Amputee,4,Not used,3.1411542646015284e-09
21,Amputee,5,Used,8.956577499529142e-09
21,Amputee,5,Not used,3.4239892069173794e-09
21,Amputee,6,Used,5.473509060290627e-09
21,Amputee,6,Not used,2.2183315408088982e-09
21,Amputee,7,Used,6.712560420625186e-09
21,Amputee,7,Not used,2.7079294509301576e-09
21,Amputee,8,Used,7.482482576058713e-09
21,Amputee,8,Not used,2.7183128658414244e-09
21,Amputee,9,Used,7.26049848505986e-09
21,Amputee,9,Not used,2.1974364513430753e-09
21,Amputee,10,Used,9.105123065219968e-09
21,Amputee,10,Not used,3.013922949445478e-09
